13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,CEBU VETERANS DRIVE,RR,"4,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,SITIO UPPER MALUBOG ROAD,RR,"2,396.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,ALL AREAS ALONG THE ROAD -,CR,"5,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,(Formerly Suburban Areas with Road),RR,"3,374.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,(Formerly Suburban Areas with Road),A50,"2,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,ALL INTERIOR AREAS -,RR,"2,732.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,(Formerly Suburban Areas without Road),A50,"1,750.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,ALL SUBDIVISIONS -,RR,"9,480.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,(Formerly All New Subdivision),RR,"4,572.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,17 STOREYS & UP,CC,"105,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,17 STOREYS & UP,RC,"100,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,17 STOREYS & UP,PS,"65,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,8 - 16 STOREYS,CR,"100,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,8 - 16 STOREYS,RC,"95,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,8 - 16 STOREYS,PS,"60,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,1 - 7 STOREYS,CR,"95,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,1 - 7 STOREYS,RC,"90,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,1 - 7 STOREYS,PS,"60,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,SOCIALIZED / LOW-COST,CC,"85,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,SOCIALIZED / LOW-COST,RC,"80,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BABAG II,ALL LOTS,SOCIALIZED / LOW-COST,PS,"50,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,E. SABELLANO ST.,CR,"21,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,E. SABELLANO ST.,RR,"17,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,E. SABELLANO ST.-INTERIOR,RR,"12,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,MAGSAYSAY STREET,RR,"13,100.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,N. BACALSO AVE. (CEBU SOUTH ROAD),CR,"35,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,N. BACALSO AVE. (CEBU SOUTH ROAD),CR,"35,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,N. BACALSO AVE. (CEBU SOUTH ROAD),RR,"27,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,N. BACALSO AVE. (CEBU SOUTH ROAD): INTERIOR,RR,"25,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,L. GABUYA ST (RIZAL AVE. EXT. /OLD PHIL. RAILWAY/TAGUNOL),CR,"22,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,L. GABUYA ST (RIZAL AVE. EXT. /OLD PHIL. RAILWAY/TAGUNOL),RR,"19,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,VILLA SAN PEDRO ROAD,RR,"16,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,VILLA SAN PEDRO ROAD,RR,"11,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,BAMBOO VILLAGE,RR,"13,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,BAYANIHAN VILLAGE,RR,"17,000.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,DESANA SUBD.,RR,"21,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,FAIRVIEW VILLAGE,RR,"13,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,LOURDES VILLAGE,RR,"13,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,(Formerly All Other Existing Subdivisions),RR,"11,500.00"
13-CEBU (Cebu City),CEBU,CEBU CITY,BASAK PARDO,ALL LOTS,(Formerly New Subdivisions),RR,"8,920.00"
